,countriesAndTerritories,location,continent,population_year,population,date,31-12-2019_x,01-01-2020_x,02-01-2020_x,03-01-2020_x,04-01-2020_x,05-01-2020_x,06-01-2020_x,07-01-2020_x,08-01-2020_x,09-01-2020_x,10-01-2020_x,11-01-2020_x,12-01-2020_x,13-01-2020_x,14-01-2020_x,15-01-2020_x,16-01-2020_x,17-01-2020_x,18-01-2020_x,19-01-2020_x,20-01-2020_x,21-01-2020_x,22-01-2020_x,23-01-2020_x,24-01-2020_x,25-01-2020_x,26-01-2020_x,27-01-2020_x,28-01-2020_x,29-01-2020_x,30-01-2020_x,31-01-2020_x,01-02-2020_x,02-02-2020_x,03-02-2020_x,04-02-2020_x,05-02-2020_x,06-02-2020_x,07-02-2020_x,08-02-2020_x,09-02-2020_x,10-02-2020_x,11-02-2020_x,12-02-2020_x,13-02-2020_x,14-02-2020_x,15-02-2020_x,16-02-2020_x,17-02-2020_x,18-02-2020_x,19-02-2020_x,20-02-2020_x,21-02-2020_x,22-02-2020_x,23-02-2020_x,24-02-2020_x,25-02-2020_x,26-02-2020_x,27-02-2020_x,28-02-2020_x,29-02-2020_x,01-03-2020_x,02-03-2020_x,03-03-2020_x,04-03-2020_x,05-03-2020_x,06-03-2020_x,07-03-2020_x,08-03-2020_x,09-03-2020_x,10-03-2020_x,11-03-2020_x,12-03-2020_x,13-03-2020_x,14-03-2020_x,15-03-2020_x,16-03-2020_x,17-03-2020_x,18-03-2020_x,19-03-2020_x,20-03-2020_x,21-03-2020_x,22-03-2020_x,23-03-2020_x,24-03-2020_x,25-03-2020_x,26-03-2020_x,27-03-2020_x,28-03-2020_x,29-03-2020_x,30-03-2020_x,31-03-2020_x,01-04-2020_x,02-04-2020_x,03-04-2020_x,31-12-2019_y,01-01-2020_y,02-01-2020_y,03-01-2020_y,04-01-2020_y,05-01-2020_y,06-01-2020_y,07-01-2020_y,08-01-2020_y,09-01-2020_y,10-01-2020_y,11-01-2020_y,12-01-2020_y,13-01-2020_y,14-01-2020_y,15-01-2020_y,16-01-2020_y,17-01-2020_y,18-01-2020_y,19-01-2020_y,20-01-2020_y,21-01-2020_y,22-01-2020_y,23-01-2020_y,24-01-2020_y,25-01-2020_y,26-01-2020_y,27-01-2020_y,28-01-2020_y,29-01-2020_y,30-01-2020_y,31-01-2020_y,01-02-2020_y,02-02-2020_y,03-02-2020_y,04-02-2020_y,05-02-2020_y,06-02-2020_y,07-02-2020_y,08-02-2020_y,09-02-2020_y,10-02-2020_y,11-02-2020_y,12-02-2020_y,13-02-2020_y,14-02-2020_y,15-02-2020_y,16-02-2020_y,17-02-2020_y,18-02-2020_y,19-02-2020_y,20-02-2020_y,21-02-2020_y,22-02-2020_y,23-02-2020_y,24-02-2020_y,25-02-2020_y,26-02-2020_y,27-02-2020_y,28-02-2020_y,29-02-2020_y,01-03-2020_y,02-03-2020_y,03-03-2020_y,04-03-2020_y,05-03-2020_y,06-03-2020_y,07-03-2020_y,08-03-2020_y,09-03-2020_y,10-03-2020_y,11-03-2020_y,12-03-2020_y,13-03-2020_y,14-03-2020_y,15-03-2020_y,16-03-2020_y,17-03-2020_y,18-03-2020_y,19-03-2020_y,20-03-2020_y,21-03-2020_y,22-03-2020_y,23-03-2020_y,24-03-2020_y,25-03-2020_y,26-03-2020_y,27-03-2020_y,28-03-2020_y,29-03-2020_y,30-03-2020_y,31-03-2020_y,01-04-2020_y,02-04-2020_y,03-04-2020_y
10,Australia,Australia,Oceania,2020.0,25499881.0,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,6.0,7.0,9.0,11.0,11.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,21.0,22.0,22.0,22.0,22.0,23.0,23.0,25.0,26.0,29.0,33.0,41.0,52.0,59.0,63.0,74.0,80.0,100.0,112.0,126.0,156.0,197.0,249.0,298.0,375.0,454.0,565.0,709.0,874.0,1098.0,1709.0,1823.0,2423.0,2799.0,3166.0,3378.0,3809.0,4093.0,4557.0,4707.0,4976.0,5224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,11.0,13.0,13.0,14.0,16.0,19.0,20.0,21.0,23.0
11,Austria,Austria,Europe,2020.0,9006400.0,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,7.0,10.0,14.0,18.0,24.0,29.0,41.0,74.0,99.0,102.0,131.0,182.0,246.0,361.0,504.0,655.0,860.0,1016.0,1332.0,1646.0,2196.0,2649.0,3024.0,3631.0,4486.0,5282.0,5888.0,7029.0,7697.0,8291.0,8813.0,9618.0,10182.0,10711.0,11129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,6.0,8.0,16.0,25.0,30.0,34.0,52.0,68.0,68.0,86.0,108.0,128.0,146.0,158.0
12,Azerbaijan,Azerbaijan,Asia,2020.0,10139175.0,Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,,,,6.0,9.0,,,,11.0,13.0,13.0,,19.0,19.0,19.0,28.0,34.0,44.0,44.0,53.0,65.0,72.0,87.0,93.0,122.0,165.0,182.0,209.0,273.0,298.0,359.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0
13,Bahamas,Bahamas,North America,2020.0,393248.0,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,4.0,4.0,4.0,4.0,4.0,5.0,9.0,9.0,11.0,14.0,14.0,15.0,21.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
14,Bahrain,Bahrain,Asia,2020.0,1701583.0,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,23.0,33.0,33.0,38.0,41.0,47.0,,49.0,52.0,52.0,56.0,63.0,79.0,109.0,110.0,162.0,162.0,210.0,211.0,214.0,221.0,237.0,256.0,269.0,285.0,306.0,334.0,339.0,390.0,419.0,458.0,466.0,473.0,500.0,515.0,567.0,569.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
15,Bangladesh,Bangladesh,Asia,2020.0,164689383.0,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,5.0,8.0,10.0,10.0,17.0,24.0,27.0,33.0,39.0,39.0,48.0,48.0,48.0,49.0,49.0,51.0,54.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0
16,Barbados,Barbados,North America,2020.0,287371.0,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,6.0,14.0,17.0,17.0,18.0,18.0,24.0,24.0,26.0,33.0,34.0,34.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Belarus,Belarus,Europe,2020.0,9449321.0,Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,4.0,6.0,,,,,,9.0,12.0,21.0,,,27.0,36.0,36.0,46.0,57.0,57.0,76.0,76.0,81.0,81.0,86.0,86.0,94.0,94.0,94.0,105.0,152.0,152.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
18,Belgium,Belgium,Europe,2020.0,11589616.0,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,13.0,23.0,50.0,109.0,169.0,200.0,239.0,267.0,314.0,399.0,559.0,689.0,886.0,1085.0,1243.0,1486.0,1795.0,2257.0,2815.0,3401.0,3743.0,4269.0,4937.0,6235.0,7284.0,9134.0,10836.0,11899.0,12775.0,13964.0,15348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,14.0,21.0,37.0,67.0,75.0,88.0,122.0,178.0,220.0,289.0,353.0,431.0,513.0,705.0,828.0,1011.0
19,Belize,Belize,North America,2020.0,397621.0,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
